,Date,text_headlines
79,2021-11-23 04:56:00,gap inc stock underperforms tuesday when compared to competitors
80,2021-11-23 04:15:00,gap inc points to supply chain struggles for weaker 3q results
81,2021-11-23 04:15:00,gap trims outlook as it maneuvers supply chain constraints
82,2021-11-22 04:56:00,gap inc stock underperforms monday when compared to competitors
83,2021-11-21 10:08:00,best buy zoom dell deere and other stocks to watch this week
84,2021-11-19 04:56:00,gap inc stock falls friday underperforms market
85,2021-11-18 04:56:00,gap inc stock outperforms market on strong trading day
86,2021-11-17 04:56:00,gap inc stock falls wednesday underperforms market
87,2021-11-16 04:56:00,gap inc stock outperforms market on strong trading day
88,2021-11-15 04:56:00,gap inc stock underperforms monday when compared to competitors despite daily gains
89,2021-11-12 04:56:00,gap inc stock falls friday underperforms market
90,2021-11-11 04:56:00,gap inc stock outperforms competitors on strong trading day
91,2021-11-10 04:56:00,gap inc stock falls wednesday underperforms market
92,2021-11-09 04:57:00,gap inc stock rises tuesday outperforms market
93,2021-11-08 04:56:00,gap inc stock falls monday underperforms market
94,2021-11-05 04:57:00,gap inc stock rises friday outperforms market
95,2021-11-03 04:57:00,gap inc stock outperforms competitors on strong trading day
96,2021-11-02 04:57:00,gap inc stock falls tuesday underperforms market
97,2021-11-01 04:57:00,gap inc stock rises monday outperforms market
98,2021-10-29 04:57:00,gap inc stock underperforms friday when compared to competitors
99,2019-09-21 10:30:00,madewell is planning an ipo here’s what investors need to know
100,2021-10-28 04:57:00,gap inc stock outperforms competitors on strong trading day
101,2021-10-28 11:53:00,walmart and gap partner for furniture collection
102,2021-10-27 04:57:00,gap inc stock underperforms wednesday when compared to competitors
103,2021-10-26 04:57:00,gap inc stock underperforms tuesday when compared to competitors despite daily gains
104,2021-10-25 04:57:00,gap inc stock outperforms competitors despite losses on the day
105,2021-10-22 04:57:00,gap inc stock underperforms friday when compared to competitors
106,2021-10-21 04:57:00,gap inc stock underperforms thursday when compared to competitors
107,2021-10-20 04:57:00,gap inc stock falls wednesday underperforms market
108,2021-10-19 04:57:00,gap inc stock falls tuesday underperforms market
109,2021-10-18 04:57:00,gap inc stock rises monday outperforms market
110,2021-10-15 04:57:00,gap inc stock falls friday underperforms market
111,2021-10-14 04:57:00,gap inc stock rises thursday still underperforms market
112,2021-10-13 04:57:00,gap inc stock falls wednesday underperforms market
113,2021-10-12 04:57:00,gap inc stock outperforms market on strong trading day
114,2021-10-11 04:57:00,gap inc stock underperforms monday when compared to competitors
115,2021-10-08 04:57:00,gap inc stock underperforms friday when compared to competitors
116,2021-10-07 04:57:00,gap inc stock outperforms market on strong trading day
117,2021-10-06 04:57:00,gap inc stock outperforms competitors despite losses on the day
118,2021-10-05 04:56:00,gap inc stock falls tuesday underperforms market
119,2019-04-10 05:00:00,tesla and 12 other stocks wall street hates but maybe you shouldn’t
120,2021-10-04 04:57:00,gap inc stock rises monday outperforms market
121,2021-10-01 04:57:00,gap inc stock outperforms competitors on strong trading day
122,2021-09-30 06:46:00,‘i had to make [athletic credentials] believable enough without raising any red flags’ former usc soccer coach details role in college admissions scandal
123,2021-09-30 04:57:00,gap inc stock underperforms thursday when compared to competitors
124,2021-09-29 04:57:00,gap inc stock outperforms competitors on strong trading day
125,2021-09-29 07:30:00,premarket movers lucid group eqt corp inmode
126,2021-09-28 04:57:00,gap inc stock outperforms market on strong trading day
127,2021-09-27 04:57:00,gap inc stock outperforms competitors on strong trading day
128,2021-09-24 04:57:00,gap inc stock outperforms competitors despite losses on the day
129,2021-09-23 04:57:00,gap inc stock outperforms market on strong trading day
130,2021-09-22 04:57:00,gap inc stock outperforms market on strong trading day
131,2021-09-21 04:57:00,gap inc stock falls tuesday underperforms market
132,2021-09-20 04:57:00,gap inc stock underperforms monday when compared to competitors
133,2021-09-17 04:56:00,gap inc stock outperforms market on strong trading day
134,2021-09-16 04:57:00,gap inc stock rises thursday outperforms market
135,2021-09-15 04:57:00,gap inc stock outperforms competitors despite losses on the day
136,2021-09-14 04:56:00,gap inc stock falls tuesday underperforms market
137,2021-09-13 04:57:00,gap inc stock outperforms competitors on strong trading day
138,2021-09-10 04:57:00,gap inc stock underperforms friday when compared to competitors
139,2021-09-09 04:57:00,gap inc stock outperforms competitors on strong trading day
140,2021-09-08 04:57:00,gap inc stock underperforms wednesday when compared to competitors
141,2021-09-07 04:57:00,gap inc stock falls tuesday underperforms market
142,2021-09-03 04:57:00,gap inc stock falls friday underperforms market
143,2021-09-02 04:57:00,gap inc stock underperforms thursday when compared to competitors
144,2021-09-02 00:41:00,goldman sachs mcdonald’s tell employees to get vaccinated before coming back to work
145,2021-09-02 00:17:00,bricks-and-mortar stores are more essential than ever for retailers analyst dana telsey says these stocks are well-positioned
146,2021-09-01 04:57:00,gap inc stock underperforms wednesday when compared to competitors
147,2021-08-31 04:57:00,gap inc stock outperforms market despite losses on the day
148,2021-08-30 04:57:00,gap inc stock rises monday outperforms market
149,2021-08-30 03:12:00,gap is going beyond hoodies and jeans taking aim at the $326 billion markets for home sleep and underwear
150,2021-08-30 07:41:00,lululemon stock is ready to get moving again
151,2021-08-27 04:57:00,gap inc stock rises friday still underperforms market
152,2021-08-27 01:02:00,gap stock price target cut to $32 from $40 at bofa securities
153,2021-08-27 08:45:00,here’s what the fed will do — if it follows what powell said at last year’s jackson hole address
154,2021-08-27 07:30:00,premarket movers billcom holdings ollie's bargain outlet gap inc
155,2021-08-26 08:58:00,gap stock jumps 7percent after company’s sales top $4 billion
156,2021-08-26 07:05:00,gap crushed earnings estimates the stock is rising
157,2021-08-26 04:57:00,gap inc stock underperforms thursday when compared to competitors
158,2021-08-25 04:57:00,gap inc stock falls wednesday underperforms market
159,2021-08-24 04:57:00,gap inc stock outperforms competitors on strong trading day
160,2021-08-23 04:57:00,gap inc stock rises monday still underperforms market
161,2021-08-23 09:13:00,salesforce best buy dollar general hp and other stocks to watch this week
162,2021-08-23 08:00:00,wall street washington & wyoming
163,2021-08-20 04:57:00,gap inc stock rises friday outperforms market
164,2021-08-19 04:57:00,gap inc stock outperforms market on strong trading day
165,2021-08-18 04:57:00,gap inc stock falls wednesday still outperforms market
166,2021-08-18 11:22:00,old navy is redefining inclusive shopping by integrating its plus-size women’s business
167,2021-08-17 06:21:00,gap inc stock falls tuesday underperforms market
168,2021-08-17 04:23:00,meet the long island guys who love unloved shopping malls
169,2021-08-16 04:57:00,gap inc stock falls monday underperforms market
170,2021-08-13 04:57:00,gap inc stock falls friday underperforms market
171,2021-08-12 04:57:00,gap inc stock falls thursday underperforms market
172,2021-08-11 04:57:00,gap inc stock underperforms wednesday when compared to competitors despite daily gains
173,2021-08-10 04:57:00,gap inc stock outperforms market on strong trading day
174,2021-08-09 04:57:00,gap inc stock outperforms competitors despite losses on the day
175,2021-08-06 04:57:00,gap inc stock rises friday outperforms market
176,2021-08-05 04:57:00,gap inc stock rises thursday outperforms market
177,2021-08-04 04:57:00,gap inc stock falls wednesday underperforms market
178,2021-08-03 04:57:00,gap inc stock outperforms competitors on strong trading day
179,2021-08-02 04:57:00,gap inc stock underperforms monday when compared to competitors
180,2021-07-31 01:54:00,‘we stand by simone’ sponsors athleta visa uber support simone biles’ withdrawal from tokyo olympics events
181,2021-07-30 04:57:00,gap inc stock outperforms competitors on strong trading day
182,2021-07-29 04:57:00,gap inc stock rises thursday outperforms market
183,2021-07-28 04:57:00,gap inc stock underperforms wednesday when compared to competitors
184,2021-07-27 04:57:00,gap inc stock falls tuesday underperforms market
185,2021-07-26 04:57:00,gap inc stock rises monday outperforms market
186,2021-07-26 08:24:00,gap upgraded to buy from hold at deutsche bank
187,2021-07-23 04:57:00,gap inc stock rises friday still underperforms market
188,2021-07-22 04:57:00,gap inc stock outperforms competitors despite losses on the day
189,2021-07-22 06:09:00,gap launches new rewards program covering old navy gap banana republic and athleta
190,2021-07-22 06:04:00,gap lauches new rewards program offering rewards on old navy gap banana republic and athleta brands
191,2021-07-21 04:56:00,gap inc stock outperforms competitors on strong trading day
192,2021-07-20 04:57:00,gap inc stock rises tuesday outperforms market
193,2021-07-20 04:45:00,how 10 top-performing s&p 500 stocks in 2021’s first half are doing now
194,2021-07-19 04:57:00,gap inc stock outperforms competitors despite losses on the day
195,2021-07-16 04:57:00,gap inc stock falls friday underperforms market
196,2021-07-15 04:57:00,gap inc stock falls thursday underperforms market
197,2021-07-14 04:57:00,gap inc stock underperforms wednesday when compared to competitors
198,2021-07-13 04:57:00,gap inc stock falls tuesday underperforms market
199,2021-07-12 04:57:00,gap inc stock underperforms monday when compared to competitors
200,2021-07-09 04:57:00,gap inc stock outperforms competitors on strong trading day
201,2021-07-08 04:56:00,gap inc stock outperforms competitors despite losses on the day
202,2021-07-08 03:05:00,how to get people to use store credit cards more personalized rewards and split-pay services says synchrony ceo
203,2021-07-07 04:57:00,gap inc stock falls wednesday underperforms market
204,2021-07-06 04:57:00,gap inc stock underperforms tuesday when compared to competitors
205,2021-07-02 04:57:00,gap inc stock underperforms friday when compared to competitors
206,2021-07-01 04:57:00,gap inc stock outperforms competitors despite losses on the day
207,2021-07-01 03:17:00,gap is closing stores in uk ireland what it means for the stock
208,2021-07-01 08:10:00,associated british foods gains as primark sales jump and gap withdraws from uk and ireland
209,2021-06-30 04:57:00,gap inc stock outperforms competitors on strong trading day
210,2021-06-30 02:54:00,yeezy gap is a year old sizing up the kanye west effect on the stock
211,2021-06-29 04:57:00,gap inc stock falls tuesday underperforms market
212,2021-06-28 04:57:00,gap inc stock falls monday underperforms market
213,2021-06-25 04:57:00,gap inc stock outperforms market on strong trading day
214,2021-06-24 04:57:00,gap inc stock rises thursday still underperforms market
215,2021-06-23 04:57:00,gap inc stock outperforms competitors on strong trading day
216,2021-06-22 04:57:00,gap inc stock rises tuesday outperforms market
217,2021-06-21 04:57:00,gap inc stock rises monday still underperforms market
218,2021-06-18 04:57:00,gap inc stock underperforms friday when compared to competitors
219,2021-06-17 04:57:00,gap inc stock underperforms thursday when compared to competitors
220,2021-06-16 04:57:00,gap inc stock outperforms market on strong trading day
221,2021-06-15 04:57:00,gap inc stock outperforms competitors despite losses on the day
222,2021-06-14 04:57:00,gap inc stock outperforms competitors on strong trading day
223,2021-06-11 04:57:00,gap inc stock outperforms market on strong trading day
224,2021-06-10 04:57:00,gap inc stock falls thursday underperforms market
225,2021-06-09 04:57:00,gap inc stock falls wednesday underperforms market
226,2021-06-08 04:57:00,gap inc stock outperforms market on strong trading day
227,2021-06-08 01:41:00,kanye west’s first design for gap is a blue jacket with no zippers buttons or snaps
228,2021-06-07 04:57:00,gap inc stock falls monday underperforms market
229,2021-06-07 11:55:00,retailers are calling on shoppers to defend workers from abuse
230,2021-06-04 04:57:00,gap inc stock outperforms competitors despite losses on the day
231,2021-06-03 04:57:00,gap inc stock falls thursday underperforms market
232,2021-06-03 07:30:00,lululemon earnings could end the stock’s reopening blues
233,2021-06-02 04:57:00,gap inc stock falls wednesday underperforms market
234,2021-06-01 04:57:00,gap inc stock underperforms tuesday when compared to competitors
235,2021-05-28 04:57:00,gap inc stock underperforms friday when compared to competitors
236,2021-05-28 09:56:00,old navy athleta lead gap to surprise profit
237,2021-05-28 07:44:00,gap surprises wall street with quarterly profit as activewear summer fashions carry the day
238,2021-05-27 04:57:00,gap inc stock rises thursday outperforms market
239,2021-05-27 00:01:00,gap partners with walmart to launch its first home collection
240,2021-05-26 04:57:00,gap inc stock outperforms competitors on strong trading day
241,2021-05-26 10:10:00,‘pretty much everyone has them on sale’ the nationwide obsession with buying face masks is over
242,2021-05-25 04:57:00,gap inc stock falls tuesday underperforms market
243,2021-05-25 10:53:00,stocks to watch this week
244,2021-05-24 04:57:00,gap inc stock rises monday still underperforms market
245,2021-05-24 08:11:00,bracing for a rollercoaster summer
246,2021-05-22 11:21:00,ford motor enphase lead s&p 500’s best weekly performers and discovery among worst stocks
247,2021-05-21 04:57:00,gap inc stock outperforms competitors despite losses on the day
248,2021-05-20 04:57:00,gap inc stock underperforms thursday when compared to competitors
249,2021-05-19 04:57:00,gap inc stock falls wednesday underperforms market
250,2021-05-18 04:57:00,gap inc stock underperforms tuesday when compared to competitors
251,2021-05-18 03:18:00,gap will get a near-term boost from back-to-school tax credits and kanye says credit suisse
252,2021-05-18 09:02:00,gap stock price target raised to $38 from $28 at ubs
253,2021-05-17 04:57:00,gap inc stock outperforms market on strong trading day
254,2021-05-15 08:30:00,union pacific and other companies that raised their dividends this week
255,2021-05-14 04:57:00,gap inc stock outperforms market on strong trading day
256,2021-05-13 04:57:00,gap inc stock outperforms competitors on strong trading day
257,2021-05-12 04:57:00,gap inc stock falls wednesday underperforms market
258,2021-05-11 05:42:00,gap to restart stock buybacks that were paused because of pandemic
259,2021-05-11 04:57:00,gap inc stock falls tuesday underperforms market
260,2021-05-10 04:57:00,gap inc stock outperforms competitors on strong trading day
261,2021-05-07 04:57:00,gap inc stock outperforms market on strong trading day
262,2021-05-06 04:57:00,gap inc stock rises thursday outperforms market
263,2021-05-05 04:57:00,gap inc stock underperforms wednesday when compared to competitors
264,2021-05-04 04:57:00,gap inc stock outperforms competitors despite losses on the day
265,2021-05-04 01:18:00,gap inc sells luxury chain intermix to focus on core brands
266,2021-05-04 01:00:00,gap inc selling its fashion boutique chain intermix to private-equity firm altamont capital partners
267,2021-05-03 11:53:00,asian markets mixed after earnings boost wall street
268,2021-05-03 04:57:00,gap inc stock outperforms competitors on strong trading day
269,2021-05-01 10:20:00,these 20 stocks performed the best over the first 100 days of biden’s presidency
270,2021-04-30 04:57:00,gap inc stock underperforms friday when compared to competitors
271,2021-04-29 04:57:00,gap inc stock falls thursday underperforms market
272,2021-04-28 04:57:00,gap inc stock falls wednesday underperforms market
273,2021-04-27 04:57:00,gap inc stock rises tuesday outperforms market
274,2021-04-26 04:57:00,gap inc stock underperforms monday when compared to competitors
275,2021-04-23 04:57:00,gap inc stock outperforms market on strong trading day
276,2021-04-23 01:45:00,gap shares leap as simone biles partners with its athleta brand
277,2021-04-23 06:16:00,gymnast simone biles is leaving nike for gap-owned athleta wsj
278,2021-04-22 04:57:00,gap inc stock outperforms competitors on strong trading day
279,2021-04-21 04:57:00,gap inc stock rises wednesday outperforms market
280,2021-04-20 04:57:00,gap inc stock outperforms competitors despite losses on the day
281,2021-04-19 04:57:00,gap inc stock falls monday underperforms market
282,2021-04-16 04:57:00,gap inc stock underperforms friday when compared to competitors
283,2021-04-15 04:57:00,gap inc stock rises thursday outperforms market
284,2021-04-14 04:57:00,gap inc stock remains steady wednesday still outperforms market
285,2021-04-13 04:57:00,gap inc stock falls tuesday underperforms market
286,2021-04-13 09:48:00,gap signs credit card agreement with barclays and mastercard after split with synchrony
287,2021-04-13 09:24:00,gap credit cards will be exclusively issued by barclays starting may 2022
288,2021-04-13 09:23:00,gap entered into new credit-card program agreements with mastercard barclays
289,2021-04-13 06:32:00,synchrony financial to exit gap partnership to redeploy capital to repurchase stock
290,2021-04-13 06:24:00,synchrony financial will not renew financing partnership with gap when it expires april 2022
291,2021-04-12 04:57:00,gap inc stock outperforms market on strong trading day
292,2021-04-09 04:57:00,gap inc stock outperforms market on strong trading day
293,2021-04-09 02:38:00,gap’s sustainability strides appeal to more investors analyst says
294,2021-04-08 04:57:00,gap inc stock rises thursday outperforms market
295,2021-04-07 04:57:00,gap inc stock falls wednesday underperforms market
296,2021-04-07 07:48:00,old navy has launched a women’s underwear collection
297,2021-04-06 04:57:00,gap inc stock rises tuesday outperforms market
298,2021-04-05 04:57:00,gap inc stock rises monday still underperforms market
299,2021-04-01 04:57:00,gap inc stock rises thursday still underperforms market
300,2021-03-31 04:57:00,gap inc stock falls wednesday underperforms market
301,2021-03-30 04:57:00,gap inc stock rises tuesday outperforms market
302,2021-03-30 09:05:00,gap poised for a post-covid apparel comeback sells kids line janie and jack
303,2021-03-29 04:57:00,gap inc stock outperforms competitors despite losses on the day
304,2021-03-26 04:57:00,gap inc stock outperforms competitors on strong trading day
305,2021-03-25 04:57:00,gap inc stock rises thursday outperforms market
306,2021-03-24 04:57:00,gap inc stock outperforms competitors despite losses on the day
307,2021-03-23 04:57:00,gap inc stock underperforms tuesday when compared to competitors
308,2021-03-22 04:57:00,gap inc stock falls monday underperforms market
309,2021-03-20 09:46:00,amazon becomes the top clothing retailer in the us outselling walmart target gap and others
310,2021-03-19 04:57:00,gap inc stock outperforms market on strong trading day
311,2021-03-18 04:57:00,gap inc stock outperforms competitors despite losses on the day
312,2021-03-17 04:57:00,gap inc stock rises wednesday outperforms market
313,2021-03-16 04:59:00,gap inc stock underperforms tuesday when compared to competitors
314,2021-03-15 00:54:00,gap inc price target raised to $40 from $32 at wells fargo stock rated overweight
315,2021-03-15 09:28:00,gap stock has been on a tear here’s how it can go higher
316,2021-03-15 05:57:00,gap stock price target raised to $40 from $32 at wells fargo
317,2021-03-12 04:43:00,gap inc stock outperforms competitors on strong trading day
318,2021-03-11 04:43:00,gap inc stock falls thursday underperforms market
319,2021-03-10 04:43:00,gap inc stock outperforms market on strong trading day
320,2021-03-09 04:43:00,gap inc stock rises tuesday still underperforms market
321,2021-03-09 09:33:00,gap stock fair value estimate raised to $29 from $21 at mkm partners
322,2021-03-08 04:44:00,gap inc stock outperforms competitors on strong trading day
323,2021-03-06 01:50:00,yeezy gap collection is coming in the first half of 2021
324,2021-03-05 04:43:00,gap inc stock outperforms market on strong trading day
325,2021-03-05 08:51:00,gap stock jumps costco slips and the stock market loves the jobs report
326,2021-03-05 07:41:00,gap sales miss estimates due to pandemic closures and restrictions
327,2021-03-05 06:30:00,premarket movers rh new fortress energy marathon oil
328,2021-03-04 06:17:00,gap stock climbs after earnings investors are excited about future sales
329,2021-03-04 04:44:00,gap inc stock underperforms thursday when compared to competitors
330,2021-03-03 04:43:00,gap inc stock outperforms market on strong trading day
331,2021-03-02 04:45:00,gap inc stock rises tuesday outperforms market
332,2021-03-01 05:07:00,zoom costco target snowflake broadcom and other stocks for investors to watch this week
333,2021-03-01 04:43:00,gap inc stock outperforms market on strong trading day
334,2021-02-26 04:43:00,gap inc stock underperforms friday when compared to competitors
335,2021-02-25 04:43:00,gap inc stock falls thursday underperforms market
336,2021-02-24 04:45:00,gap inc stock outperforms competitors on strong trading day
337,2021-02-24 00:30:00,gap to invest $140 million in new texas distribution center
338,2021-02-23 04:44:00,gap inc stock falls tuesday underperforms market
339,2021-02-22 04:43:00,gap inc stock outperforms competitors on strong trading day
340,2021-02-19 05:22:00,tjx cos stock falls friday underperforms market
341,2021-02-19 04:49:00,ross stores inc stock falls friday underperforms market
342,2021-02-19 04:43:00,gap inc stock outperforms competitors on strong trading day
343,2021-02-18 05:23:00,tjx cos stock outperforms competitors on strong trading day
344,2021-02-18 04:49:00,ross stores inc stock rises thursday outperforms market
345,2021-02-18 04:43:00,gap inc stock outperforms market on strong trading day
346,2021-02-17 05:23:00,tjx cos stock underperforms wednesday when compared to competitors
347,2021-02-17 04:49:00,ross stores inc stock outperforms competitors despite losses on the day
348,2021-02-17 04:43:00,gap inc stock underperforms wednesday when compared to competitors
349,2021-02-16 05:23:00,tjx cos stock falls tuesday underperforms market
350,2021-02-16 04:49:00,ross stores inc stock outperforms competitors on strong trading day
351,2021-02-16 04:43:00,gap inc stock outperforms market on strong trading day
352,2021-02-12 05:22:00,tjx cos stock underperforms friday when compared to competitors
353,2021-02-12 04:49:00,ross stores inc stock falls friday underperforms market
354,2021-02-12 04:43:00,gap inc stock outperforms competitors despite losses on the day
355,2021-02-11 05:22:00,tjx cos stock rises thursday outperforms market
356,2021-02-11 04:49:00,ross stores inc stock rises thursday outperforms market
357,2021-02-11 04:44:00,gap inc stock outperforms competitors on strong trading day
358,2021-02-10 05:22:00,tjx cos stock falls wednesday underperforms market
359,2021-02-10 04:49:00,ross stores inc stock rises wednesday outperforms market
360,2021-02-10 04:44:00,gap inc stock rises wednesday outperforms market
361,2021-02-10 00:57:00,gap margins will benefit from headquarters consolidation wells fargo
362,2021-02-09 06:27:00,biden and yellen discuss $19 trillion covid relief plan with jpmorgan walmart gap ceos
363,2021-02-09 05:23:00,tjx cos stock falls tuesday underperforms market
364,2021-02-09 04:49:00,ross stores inc stock outperforms competitors despite losses on the day
365,2021-02-09 04:44:00,gap inc stock falls tuesday underperforms market
366,2021-02-08 05:22:00,tjx cos stock rises monday outperforms market
367,2021-02-08 04:49:00,ross stores inc stock underperforms monday when compared to competitors despite daily gains
368,2021-02-08 04:44:00,gap inc stock underperforms monday when compared to competitors
369,2021-02-05 05:22:00,tjx cos stock falls friday underperforms market
370,2021-02-05 04:49:00,ross stores inc stock outperforms competitors despite losses on the day
371,2021-02-05 04:44:00,gap inc stock outperforms market on strong trading day
372,2021-02-04 05:23:00,tjx cos stock outperforms competitors on strong trading day
373,2021-02-04 04:49:00,ross stores inc stock rises thursday still underperforms market
374,2021-02-04 04:44:00,gap inc stock outperforms market on strong trading day
375,2021-02-03 05:23:00,tjx cos stock outperforms market on strong trading day
376,2021-02-03 04:49:00,ross stores inc stock underperforms wednesday when compared to competitors despite daily gains
377,2021-02-03 04:44:00,gap inc stock outperforms market on strong trading day
378,2021-02-02 05:22:00,tjx cos stock outperforms market on strong trading day
379,2021-02-02 04:49:00,ross stores inc stock rises tuesday outperforms market
380,2021-02-02 04:44:00,gap inc stock outperforms competitors on strong trading day
381,2021-02-01 05:23:00,tjx cos stock rises monday still underperforms market
382,2021-02-01 04:50:00,ross stores inc stock rises monday still underperforms market
383,2021-02-01 04:44:00,gap inc stock outperforms competitors despite losses on the day
384,2021-01-29 04:49:00,ross stores inc stock outperforms competitors despite losses on the day
385,2021-01-29 04:44:00,gap inc stock outperforms competitors despite losses on the day
386,2021-01-28 05:22:00,tjx cos stock rises thursday outperforms market
387,2021-01-28 04:49:00,ross stores inc stock rises thursday outperforms market
388,2021-01-28 04:43:00,gap inc stock outperforms market on strong trading day
389,2021-01-27 05:22:00,tjx cos stock outperforms competitors despite losses on the day
390,2021-01-27 04:49:00,ross stores inc stock falls wednesday underperforms market
391,2021-01-27 04:43:00,gap inc stock falls wednesday underperforms market
392,2021-01-26 05:22:00,tjx cos stock falls tuesday underperforms market
393,2021-01-26 04:49:00,ross stores inc stock outperforms competitors despite losses on the day
394,2021-01-26 04:43:00,gap inc stock underperforms tuesday when compared to competitors
